,numb,question,answer,options
0,1,The complex organizational process through which computer-based information systems are developed and maintained best defines: ,information systems analysis and design,"['information systems analysis and design', 'joint application design ', 'prototyping ', 'none of the above']"
1,2,Software designed to support the payroll function would best be classified as: ,application software ,"['system software', 'application software', 'design software ', 'analysis software']"
2,3,The person in an organization who has the primary responsibility for systems analysis and design is the: ,systems analyst ,"['end user', 'internal auditor', 'business manager', 'systems analyst']"
3,4,Which of the following can be considered a goal of TPS development?,all of the above ,"[' improve transaction processing by speeding it up', 'use fewer people ', 'improve efficiency and accuracy', 'all of the above ']"
4,5,The phase of the SDLC in which an information system is systematically repaired and improved is referred to as: , maintenance,"['analysis', 'mplementation', ' maintenance', 'physical repair']"
5,6,Sources of software include:,all of the above ,"['mhardware manufacturersohammad', 'packaged software providers', 'application service providers', 'all of the above ']"
6,7,The first administrative information system was: name is ,General Electric’s payroll system,"['General Motor’s order tracking system', 'ord Motor Company’s order tracking system ', 'General Electric’s payroll system', ' Coca-Cola’s payroll system ']"
7,8, Coca-Cola’s payroll system  ,all of the above.,"['freeing up internal resources', 'increasing processing efficiencies', 'reducing time to market. ', 'all of the above.']"
8,9,Hiring a company to run your applications at your site on your computers is an example of:  name is ,outsourcing,"['a turnkey system ', 'outsourcing', 'downsizing', 'realignment']"
9,10,Which of the following is not a project planning activity? ,establishing management procedures ,"['setting a Baseline Project Plan', 'identifying and assessing risk', 'determining project standards and procedures', 'establishing management procedures ']"
10,11,Which of the following is not a project close down phase?  ,communicating the project status,"['conducting post project reviews', 'closing the customer contract ', 'closing down the project', 'communicating the project status']"
11,12,"Any person, group of people, piece of equipment, or material used in accomplishing an activity is referred to as a(n): ",resource,"['resource', 'entity', 'identifier', 'agent']"
12,13,The amount of time that an activity can be delayed without delaying the project refers to: ,slack time ,"['noncritical time', 'slack time ', 'down time ', 'delay time ']"
13,14,Tangible benefits would include:,motasem,"['improved organizational planning', 'ability to investigate more alternatives', 'improved asset control utilization ', 'lower transaction costs']"
14,15,Which of the following is a way projects can be identified? ,motasem,"['bottom-up source ', 'upper-echelon source ', 'top-down source ', 'both a and c ']"
15,16,A statement that makes it clear what business a company is in is called a: ,corporate policy statement ,"['business statement ', 'mission statement ', 'goal statement', 'corporate policy statement ']"
16,17,"As a rule of thumb estimate, what percentage of the entire development effort should be devoted to the project initiation and planning process?  ",between 10 and 20 percent,"['between 10 and 20 percent', 'less than 5 percent ', 'less than 10 percent', 'between 20 and 30 percent']"
17,18,"Cost reduction and avoidance, error reduction, and increased flexibility are examples of:  ",tangible benefits,"['intangible benefits', 'qualitative benefits ', 'tangible benefits', 'legal and contractual benefits ']"
18,19,The matrix that identifies the relationships between organizational entities and each business function is:  ,unit-to-function,"['location-to-unit ', 'unit-to-function', 'entity-to-process ', 'function-to-process']"
19,20,An advantage of the bottom-up planning approach is:,identifying pressing organizational problems ,"['identifying pressing organizational problems ', 'broader perspective ', 'improved integration', 'better understanding ']"
20,21,Which of the following is the first ISP step?,Assess current IS-related assets,"['Develop target blueprints', 'Assess current IS-related assets', 'Assess current IS-related assets', 'Assign resources']"
21,22,Which of the following is a competitive strategy? ,all of the above,"['low-cost producer', 'product differentiation', 'product focus ', 'all of the above']"
22,23,Once a company has defined its mission and objectives:  ,a competitive strategy can be formulated ,"['goals can be established', 'an information architecture can be developed', 'project analysis can begin ', 'a competitive strategy can be formulated ']"
23,24," A controlled process of initiating, planning, executing, and closing down a project best defines:  ",project management ,"['systems development ', 'project management ', 'project development', 'systems management ']"
24,25,A planned undertaking of related activities to reach an objective that has a beginning and an end best defines:,project,"['task development', 'activity plan ', 'project ', 'task schedule']"
25,26,Which of the following software evaluation criteria refers to the ease with which you or the vendor can customize the software?  ,motasem,"['cost', 'vendor viability ', 'functionality', 'flexibility']"
26,27,"When purchasing off-the-shelf software, you should consider:  ",all of the above ,"['all of the above ', 'vendor viabilit', 'vendor viabilit', 'flexibility']"
27,28,"Based on service revenue, which of the following companies is the top global software company? ",EDS,"['EDS', 'Accenture', 'Microsoft', 'Compaq']"
28,29,"myBased on 2002 total revenues, which of the following companies had the highest revenues?  name is ",IBM,"['Microsoft', 'IBM', 'Accenture', 'NTT Data Corporation']"
29,30,my namWhich of the following are major categories of organizations that produce software? e is ,all of the above,"['hardware manufacturers', 'custom software producers ', 'all of the above ', 'packaged software producers ']"
